Generation,Population, Optimum, Climate, Popsize, Phenotype,sdPhenotype,Mismatch, Fitness, sdFitness, id
1, 1, 21, 0, 1000, 19.9635, 0.721775, 1.0819, 0.572007, 0.299251, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
1, 2, 20.5, 0, 1000, 20.0031, 0.68978, 0.6883, 0.756225, 0.239139, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
1, 3, 20, 0, 1000, 19.994, 0.706741, 0.5548, 0.818901, 0.204051, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
1, 4, 19.5, 0, 1000, 19.993, 0.69456, 0.686, 0.757321, 0.242851, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
1, 5, 19, 0, 1000, 19.9505, 0.699449, 1.0037, 0.607429, 0.288774, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
2, 1, 21, 0, 1000, 20.3211, 0.638978, 0.7737, 0.715749, 0.251561, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
2, 2, 20.5, 0, 1000, 20.152, 0.633433, 0.581, 0.807921, 0.203581, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
2, 3, 20, 0, 1000, 19.9928, 0.633427, 0.5062, 0.844267, 0.174927, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
2, 4, 19.5, 0, 1000, 19.8183, 0.632309, 0.5549, 0.818541, 0.205778, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
2, 5, 19, 0, 1000, 19.6341, 0.66126, 0.7447, 0.728727, 0.255738, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
3, 1, 21, 0, 1000, 20.4748, 0.638477, 0.6754, 0.763468, 0.231763, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
3, 2, 20.5, 0, 1000, 20.2372, 0.614682, 0.5382, 0.828982, 0.184846, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
3, 3, 20, 0, 1000, 19.9798, 0.622559, 0.4972, 0.847958, 0.173092, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
3, 4, 19.5, 0, 1000, 19.7081, 0.613809, 0.5193, 0.836726, 0.179258, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
3, 5, 19, 0, 1000, 19.4254, 0.650013, 0.6204, 0.788097, 0.223449, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
4, 1, 21, 0, 1000, 20.6098, 0.631809, 0.602, 0.79737, 0.207711, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
4, 2, 20.5, 0, 1000, 20.2948, 0.614859, 0.5172, 0.838692, 0.181923, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
4, 3, 20, 0, 1000, 19.9879, 0.646267, 0.5141, 0.840537, 0.180306, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
4, 4, 19.5, 0, 1000, 19.6331, 0.625032, 0.5133, 0.841088, 0.175704, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
4, 5, 19, 0, 1000, 19.287, 0.641079, 0.5582, 0.818741, 0.200352, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
5, 1, 21, 0, 1000, 20.7064, 0.609533, 0.542, 0.826884, 0.189165, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
5, 2, 20.5, 0, 1000, 20.3319, 0.644273, 0.5353, 0.830449, 0.185248, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
5, 3, 20, 0, 1000, 19.9947, 0.63725, 0.5149, 0.840887, 0.173039, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
5, 4, 19.5, 0, 1000, 19.6049, 0.625105, 0.5123, 0.842393, 0.171514, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
5, 5, 19, 0, 1000, 19.2053, 0.631237, 0.5357, 0.831165, 0.181387, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
6, 1, 21, 0, 1000, 20.83, 0.634447, 0.5206, 0.837766, 0.185557, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
6, 2, 20.5, 0, 1000, 20.3563, 0.636731, 0.5227, 0.837305, 0.180421, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
6, 3, 20, 0, 1000, 19.9875, 0.641502, 0.4993, 0.845107, 0.185632, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
6, 4, 19.5, 0, 1000, 19.6058, 0.613517, 0.4936, 0.849583, 0.172928, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
6, 5, 19, 0, 1000, 19.1664, 0.6308, 0.5138, 0.839038, 0.183435, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
7, 1, 21, 0, 1000, 20.8988, 0.644961, 0.5182, 0.837141, 0.185168, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
7, 2, 20.5, 0, 1000, 20.391, 0.611632, 0.4884, 0.852273, 0.175121, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
7, 3, 20, 0, 1000, 19.9827, 0.637289, 0.5133, 0.841104, 0.174516, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
7, 4, 19.5, 0, 1000, 19.5609, 0.627339, 0.5063, 0.845658, 0.173779, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
7, 5, 19, 0, 1000, 19.129, 0.620277, 0.4976, 0.847185, 0.179177, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
8, 1, 21, 0, 1000, 20.9311, 0.622809, 0.5061, 0.845904, 0.170133, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
8, 2, 20.5, 0, 1000, 20.4509, 0.631061, 0.5021, 0.845837, 0.17803, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
8, 3, 20, 0, 1000, 19.9968, 0.617163, 0.4882, 0.852067, 0.172887, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
8, 4, 19.5, 0, 1000, 19.5146, 0.634436, 0.5032, 0.845954, 0.176234, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
8, 5, 19, 0, 1000, 19.0928, 0.636359, 0.514, 0.840588, 0.178522, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
9, 1, 21, 0, 1000, 20.9357, 0.605163, 0.4897, 0.853317, 0.165179, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
9, 2, 20.5, 0, 1000, 20.4493, 0.609632, 0.4823, 0.854422, 0.17125, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
9, 3, 20, 0, 1000, 19.9906, 0.632844, 0.502, 0.844493, 0.176993, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
9, 4, 19.5, 0, 1000, 19.5014, 0.593119, 0.471, 0.861489, 0.165237, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
9, 5, 19, 0, 1000, 19.0808, 0.626134, 0.5048, 0.845313, 0.175591, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
10, 1, 21, 0, 1000, 20.9378, 0.654614, 0.5242, 0.835983, 0.184483, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
10, 2, 20.5, 0, 1000, 20.4561, 0.593882, 0.4709, 0.859192, 0.165709, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
10, 3, 20, 0, 1000, 20.009, 0.607378, 0.4804, 0.856188, 0.16865, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
10, 4, 19.5, 0, 1000, 19.4583, 0.60724, 0.4873, 0.853926, 0.168763, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
10, 5, 19, 0, 1000, 19.0332, 0.639427, 0.5076, 0.842807, 0.180335, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
11, 1, 21, 0, 1000, 20.9052, 0.586256, 0.4714, 0.860496, 0.16445, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
11, 2, 20.5, 0, 1000, 20.5182, 0.6089, 0.489, 0.853139, 0.166582, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
11, 3, 20, 0, 1000, 19.9983, 0.653632, 0.5173, 0.836875, 0.184665, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
11, 4, 19.5, 0, 1000, 19.4639, 0.606807, 0.4869, 0.853666, 0.164688, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
11, 5, 19, 0, 1000, 18.9916, 0.639749, 0.5054, 0.842274, 0.179711, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
12, 1, 21, 0, 1000, 20.9604, 0.619286, 0.498, 0.848314, 0.169678, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
12, 2, 20.5, 0, 1000, 20.5633, 0.632759, 0.5067, 0.843894, 0.178015, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
12, 3, 20, 0, 1000, 19.9711, 0.640691, 0.5063, 0.841861, 0.181006, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
12, 4, 19.5, 0, 1000, 19.4924, 0.619052, 0.4922, 0.851494, 0.172655, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
12, 5, 19, 0, 1000, 19.0218, 0.62162, 0.4988, 0.849099, 0.171865, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
13, 1, 21, 0, 1000, 20.9586, 0.620347, 0.498, 0.850114, 0.170711, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.1_mr0_WoFF1_1977
