Generation,Population, Optimum, Climate, Popsize, Phenotype,sdPhenotype,Mismatch, Fitness, sdFitness, id
1, 1, 1.1, 0, 1000, 0.99635, 0.0721775, 0.10819, 0.572007, 0.299251, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
1, 2, 1.05, 0, 1000, 1.00031, 0.068978, 0.06883, 0.756225, 0.239139, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
1, 3, 1, 0, 1000, 0.9994, 0.0706741, 0.05548, 0.818901, 0.204051, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
1, 4, 0.95, 0, 1000, 0.9993, 0.069456, 0.0686, 0.757321, 0.24285, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
1, 5, 0.9, 0, 1000, 0.99505, 0.0699449, 0.10037, 0.607429, 0.288774, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
2, 1, 1.1, 0, 1000, 1.03211, 0.0638978, 0.07737, 0.715749, 0.251561, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
2, 2, 1.05, 0, 1000, 1.0152, 0.0633433, 0.0581, 0.807921, 0.203581, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
2, 3, 1, 0, 1000, 0.99928, 0.0633427, 0.05062, 0.844267, 0.174927, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
2, 4, 0.95, 0, 1000, 0.98183, 0.0632309, 0.05549, 0.818542, 0.205778, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
2, 5, 0.9, 0, 1000, 0.96341, 0.066126, 0.07447, 0.728727, 0.255738, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
3, 1, 1.1, 0, 1000, 1.04748, 0.0638477, 0.06754, 0.763468, 0.231763, K1000_burnin100_EN0_aIoC50_IM1_I0.5_S100_U100_AGV0_MS0.01_me0.01_mr0_WoFF0.1_1977
